area,KS5: Average point score in best 3 A level entries (2015-16)
City of London,No Data
Barking and Dagenham,31.97
Barnet,36.46
Bexley,34.55
Brent,34.92
Bromley,36.35
Camden,31.03
Croydon,31.17
Ealing,34.69
Enfield,33.8
Greenwich,30.4
Hackney,33
Hammersmith and Fulham,31.79
Haringey,36.56
Harrow,35.28
Havering,29.15
Hillingdon,32.15
Hounslow,33.93
Islington,28.53
Kensington and Chelsea,35.42
Kingston upon Thames,37.34
Lambeth,33.99
Lewisham,27.2
Merton,33.87
Newham,34.9
Redbridge,34.01
Richmond upon Thames,31.01
Southwark,35.52
Sutton,40.63
Tower Hamlets,30.58
Waltham Forest,30.19
Wandsworth,32.56
Westminster,34.03
