,feature,importance
0,population_size,14704.2011482861
1,area_size,3574.168073535414
2,number_of_jobs,1902.825597632528
3, crime_count_2008_t0_2017,1380.7948896548621
4,recycling_pct,594.7632037791313
5,median_salary,489.71778524026945
6,Unnamed: 0,299.5761048353267
7,life_satisfaction,249.33627781561316
8,date_2003-12-01,3.08193792550274
9,mean_salary_30821,0.0
10,mean_salary_30422,0.0
11,mean_salary_30011,0.0
12,mean_salary_30087,0.0
13,mean_salary_30117,0.0
14,mean_salary_30142,0.0
15,mean_salary_30172,0.0
16,mean_salary_30210,0.0
17,mean_salary_30224,0.0
18,mean_salary_30242,0.0
19,mean_salary_30298,0.0
20,mean_salary_30330,0.0
21,mean_salary_30339,0.0
22,mean_salary_30342,0.0
23,mean_salary_30371,0.0
24,mean_salary_30375,0.0
25,mean_salary_30443,0.0
26,mean_salary_30817,0.0
27,mean_salary_30446,0.0
28,mean_salary_30506,0.0
29,mean_salary_30518,0.0
30,mean_salary_29869,0.0
31,mean_salary_30582,0.0
32,mean_salary_30607,0.0
33,mean_salary_30680,0.0
34,mean_salary_30731,0.0
35,mean_salary_30738,0.0
36,mean_salary_30740,0.0
37,mean_salary_30752,0.0
38,mean_salary_30773,0.0
39,mean_salary_30786,0.0
40,mean_salary_30795,0.0
41,mean_salary_29957,0.0
42,mean_salary_29804,0.0
43,mean_salary_29854,0.0
44,mean_salary_29105,0.0
45,mean_salary_29407,0.0
46,mean_salary_29353,0.0
47,mean_salary_29341,0.0
48,mean_salary_29305,0.0
49,mean_salary_29224,0.0
50,mean_salary_29187,0.0
51,mean_salary_29088,0.0
52,mean_salary_29446,0.0
53,mean_salary_29032,0.0
54,mean_salary_28965,0.0
55,mean_salary_28949,0.0
56,mean_salary_28930,0.0
57,mean_salary_28912,0.0
58,mean_salary_28847,0.0
59,mean_salary_29423,0.0
60,mean_salary_29463,0.0
61,mean_salary_29842,0.0
62,mean_salary_29714,0.0
63,mean_salary_29832,0.0
64,mean_salary_30833,0.0
65,mean_salary_29790,0.0
66,mean_salary_29775,0.0
67,mean_salary_29745,0.0
68,mean_salary_29726,0.0
69,mean_salary_29712,0.0
70,mean_salary_29470,0.0
71,mean_salary_29702,0.0
72,mean_salary_29656,0.0
73,mean_salary_29631,0.0
74,mean_salary_29609,0.0
75,mean_salary_29524,0.0
76,mean_salary_29516,0.0
77,mean_salary_30823,0.0
78,mean_salary_30911,0.0
79,mean_salary_30873,0.0
80,mean_salary_31988,0.0
81,mean_salary_32089,0.0
82,mean_salary_32009,0.0
83,mean_salary_32007,0.0
84,mean_salary_32003,0.0
85,mean_salary_31994,0.0
86,mean_salary_31990,0.0
87,mean_salary_31980,0.0
88,mean_salary_31862,0.0
89,mean_salary_31960,0.0
90,mean_salary_31948,0.0
91,mean_salary_31929,0.0
92,mean_salary_31926,0.0
93,mean_salary_31917,0.0
94,mean_salary_31878,0.0
95,mean_salary_32093,0.0
96,mean_salary_32106,0.0
97,mean_salary_32130,0.0
98,mean_salary_32190,0.0
99,mean_salary_32241,0.0
100,mean_salary_32256,0.0
101,mean_salary_32261,0.0
102,mean_salary_32321,0.0
103,mean_salary_32342,0.0
104,mean_salary_32363,0.0
105,mean_salary_32408,0.0
106,mean_salary_32415,0.0
107,mean_salary_32421,0.0
108,mean_salary_32427,0.0
109,mean_salary_32442,0.0
110,mean_salary_32463,0.0
111,mean_salary_32475,0.0
112,mean_salary_31874,0.0
113,mean_salary_31842,0.0
114,mean_salary_30906,0.0
115,mean_salary_31049,0.0
116,mean_salary_31319,0.0
117,mean_salary_31305,0.0
118,mean_salary_31153,0.0
119,mean_salary_31143,0.0
120,mean_salary_31068,0.0
121,mean_salary_31063,0.0
122,mean_salary_31041,0.0
123,mean_salary_31817,0.0
124,mean_salary_31035,0.0
125,mean_salary_31033,0.0
126,mean_salary_30968,0.0
127,mean_salary_30923,0.0
128,mean_salary_28814,0.0
129,mean_salary_30909,0.0
130,mean_salary_31352,0.0
131,mean_salary_31399,0.0
132,mean_salary_31404,0.0
133,mean_salary_31455,0.0
134,mean_salary_31504,0.0
135,mean_salary_31584,0.0
136,mean_salary_31630,0.0
137,mean_salary_31652,0.0
138,mean_salary_31666,0.0
139,mean_salary_31690,0.0
140,mean_salary_31703,0.0
141,mean_salary_31728,0.0
142,mean_salary_31746,0.0
143,mean_salary_31749,0.0
144,mean_salary_31795,0.0
145,mean_salary_31797,0.0
146,mean_salary_31812,0.0
147,mean_salary_28816,0.0
148,mean_salary_28531,0.0
149,mean_salary_28795,0.0
150,area_LAMBETH,0.0
151,area_SOUTHWARK,0.0
152,area_RICHMOND UPON THAMES,0.0
153,area_REDBRIDGE,0.0
154,area_NEWHAM,0.0
155,area_MERTON,0.0
156,area_LEWISHAM,0.0
157,area_KINGSTON UPON THAMES,0.0
158,area_GREENWICH,0.0
159,area_KENSINGTON AND CHELSEA,0.0
160,area_ISLINGTON,0.0
161,area_HOUNSLOW,0.0
162,area_HARROW,0.0
163,area_HARINGEY,0.0
164,area_HAMMERSMITH AND FULHAM,0.0
165,area_SUTTON,0.0
166,area_TOWER HAMLETS,0.0
167,area_WALTHAM FOREST,0.0
168,area_WANDSWORTH,0.0
169,date_2001-12-01,0.0
170,date_2002-12-01,0.0
171,date_2004-12-01,0.0
172,date_2005-12-01,0.0
173,date_2006-12-01,0.0
174,date_2007-12-01,0.0
175,date_2008-12-01,0.0
176,date_2009-12-01,0.0
177,date_2010-12-01,0.0
178,date_2011-12-01,0.0
179,date_2012-12-01,0.0
180,date_2013-12-01,0.0
181,date_2014-12-01,0.0
182,area_HACKNEY,0.0
183,area_ENFIELD,0.0
184,date_2016-12-01,0.0
185,code_E09000012,0.0
186,code_E09000020,0.0
