area, crime_count_2008_t0_2017
Westminster,	455028
Lambeth,	292178
Southwark,	278809
Camden,	275147
Newham,	262024
Croydon,	260294
Ealing,	251562
Islington,	230286
Tower Hamlets,	228613
Brent,	227551
Hackney,	217119
Lewisham,	215137
Haringey,	213272
Barnet,	212191
Hillingdon,	209680
Wandsworth,	204741
Waltham Forest,	203879
Enfield,	193880
Hounslow,	186772
Hammersmith and Fulham,	185259
Bromley,	184349
Redbridge,	183562
Greenwich,	181568
Kensington and Chelsea,	171981
Barking and Dagenham,	149447
Havering,	138947
Harrow,	116848
Merton,	115654
Bexley,	114136
Sutton,	100987
Richmond upon Thames,	96771
Kingston upon Thames,	89306
City of London,	780
